training_step, return
237735,85.0
238077,115.0
238540,120.0
239121,215.0
239665,415.0
240433,305.0
240917,180.0
241451,225.0
242148,255.0
242535,100.0
242880,55.0
243614,335.0
244154,225.0
244704,170.0
245390,185.0
246026,245.0
246559,245.0
247023,150.0
247910,270.0
248657,505.0
249170,160.0
249941,270.0
250350,80.0
250759,125.0
251225,200.0
251915,255.0
252311,180.0
252686,75.0
253294,385.0
253888,235.0
254273,105.0
254671,180.0
255392,315.0
255856,120.0
256229,105.0
256749,170.0
257429,155.0
257909,210.0
258461,215.0
258982,210.0
259409,120.0
259812,85.0
260298,155.0
260709,80.0
261252,275.0
261750,195.0
262120,95.0
262668,210.0
263268,165.0
263944,330.0
264643,515.0
265230,110.0
265841,210.0
266246,80.0
266526,80.0
266939,150.0
267407,155.0
267916,140.0
268361,180.0
268725,75.0
269411,210.0
270161,345.0
270653,180.0
271289,185.0
271777,145.0
272577,485.0
273089,230.0
273648,210.0
273999,105.0
274714,225.0
275320,210.0
275720,120.0
276227,185.0
276817,210.0
277340,150.0
277668,105.0
278516,270.0
278964,120.0
279340,30.0
280005,285.0
280413,125.0
280926,180.0
281604,290.0
282214,215.0
282719,120.0
283554,610.0
283978,135.0
284725,350.0
284993,85.0
285492,230.0
285924,155.0
286438,215.0
286791,80.0
287493,230.0
288022,230.0
288653,310.0
289180,205.0
289541,80.0
290073,220.0
290554,240.0
291172,210.0
291974,350.0
292330,80.0
292848,210.0
293219,135.0
293836,175.0
294490,345.0
295070,130.0
295577,260.0
296080,210.0
296591,215.0
297083,210.0
297796,300.0
298117,80.0
298763,330.0
299399,240.0
299807,135.0
300448,130.0
301105,250.0
301585,155.0
301890,55.0
302185,125.0
302610,155.0
303023,100.0
303414,170.0
303794,110.0
304514,325.0
304801,95.0
305211,90.0
305511,80.0
305859,135.0
306464,210.0
306902,150.0
307371,155.0
307742,120.0
308349,200.0
308751,155.0
309482,300.0
309991,205.0
310476,180.0
310942,180.0
311470,180.0
312070,165.0
312720,460.0
313053,100.0
313441,65.0
313919,210.0
314398,155.0
314817,125.0
315299,210.0
315812,155.0
316219,125.0
316636,155.0
317016,120.0
317651,155.0
318246,220.0
318538,100.0
319023,155.0
319318,150.0
319617,80.0
320109,215.0
320779,185.0
321160,180.0
321840,235.0
322224,55.0
322679,150.0
323291,230.0
323832,140.0
324212,180.0
324631,185.0
325363,455.0
325819,155.0
326162,105.0
326579,210.0
326900,155.0
327426,210.0
328088,230.0
328459,180.0
329147,210.0
329899,315.0
330357,155.0
330873,185.0
331367,210.0
331943,185.0
332524,435.0
333066,200.0
333835,520.0
334401,380.0
334858,135.0
335295,165.0
335668,80.0
336245,215.0
336888,200.0
337379,175.0
337920,210.0
338593,490.0
339046,155.0
339573,230.0
340096,220.0
340901,525.0
341415,210.0
341807,120.0
342452,285.0
342743,110.0
343316,440.0
343852,105.0
344452,210.0
345042,455.0
345740,340.0
346296,230.0
346775,180.0
347144,155.0
347754,230.0
348309,170.0
348719,130.0
349174,180.0
349590,210.0
350013,80.0
350983,485.0
351286,30.0
351772,210.0
352146,135.0
352527,155.0
352912,120.0
353477,215.0
353837,135.0
354280,210.0
354779,180.0
355704,575.0
356221,210.0
357219,510.0
357950,315.0
358336,120.0
358782,210.0
359142,125.0
359823,365.0
360204,160.0
360725,180.0
361232,210.0
361741,210.0
362109,135.0
362563,210.0
363416,570.0
363796,120.0
364381,225.0
364933,415.0
365715,335.0
366397,265.0
367084,190.0
367546,185.0
367831,80.0
368447,240.0
369269,330.0
369825,210.0
370443,225.0
370942,230.0
371612,265.0
372454,410.0
372980,210.0
373288,95.0
373776,205.0
374294,210.0
375020,565.0
375418,110.0
375940,210.0
376588,610.0
377202,225.0
377678,210.0
378371,280.0
378835,210.0
379370,210.0
380091,510.0
380663,210.0
381185,210.0
381944,550.0
382601,260.0
383054,210.0
384006,480.0
384556,210.0
385130,300.0
385422,80.0
386021,210.0
386534,215.0
387011,155.0
387593,255.0
388332,270.0
388827,210.0
389112,125.0
389514,200.0
390011,160.0
390686,300.0
390993,80.0
391400,180.0
392026,300.0
392554,210.0
392962,175.0
393614,360.0
394346,335.0
395110,550.0
395982,335.0
396260,85.0
396540,110.0
397081,260.0
397755,370.0
398251,210.0
398683,180.0
399205,240.0
399759,215.0
400368,265.0
400833,180.0
401223,180.0
401612,210.0
402440,435.0
402953,210.0
403352,150.0
404268,515.0
405247,410.0
406043,505.0
406679,270.0
407310,290.0
408226,420.0
408626,210.0
409106,185.0
409612,215.0
410751,420.0
411053,60.0
411734,330.0
412250,225.0
412720,230.0
413428,280.0
413918,235.0
414721,345.0
415200,225.0
415845,285.0
416371,260.0
416790,180.0
417503,285.0
417793,70.0
418354,230.0
418738,210.0
419355,245.0
419722,90.0
420001,100.0
420559,300.0
421166,440.0
421779,260.0
422338,215.0
422842,225.0
423124,155.0
423500,180.0
423973,120.0
424459,215.0
424990,245.0
425601,185.0
426389,320.0
426999,435.0
427755,365.0
428225,240.0
428511,150.0
429734,700.0
430199,160.0
430921,335.0
431419,225.0
431925,210.0
432328,120.0
432792,215.0
433340,230.0
433854,225.0
434343,210.0
434831,210.0
435402,310.0
436156,235.0
436443,80.0
437154,535.0
437990,395.0
438490,210.0
438783,135.0
439510,375.0
440063,240.0
440354,80.0
440862,285.0
441551,365.0
442385,485.0
443059,365.0
443642,245.0
444044,105.0
444574,260.0
444870,100.0
445237,180.0
445742,215.0
446377,270.0
446937,290.0
447743,390.0
448316,195.0
449129,660.0
449952,670.0
450482,215.0
450985,180.0
451543,245.0
451927,180.0
452489,285.0
453177,265.0
453776,225.0
454070,155.0
454347,100.0
454744,165.0
455126,135.0
455419,135.0
455810,95.0
456338,170.0
456921,280.0
457403,200.0
458072,305.0
458435,180.0
458948,225.0
459239,45.0
459738,285.0
460147,150.0
460762,290.0
461273,250.0
461759,155.0
462250,155.0
462704,150.0
463133,140.0
463739,265.0
464354,485.0
464840,180.0
465440,270.0
466025,260.0
466626,315.0
467098,210.0
467940,345.0
468271,135.0
468783,225.0
469279,210.0
469954,205.0
470816,380.0
471583,335.0
472211,445.0
472846,415.0
473515,285.0
474144,315.0
474628,215.0
475161,215.0
475535,155.0
476193,315.0
477305,400.0
478007,395.0
478533,255.0
478905,210.0
479439,210.0
480183,475.0
480492,80.0
481262,295.0
481743,210.0
482214,290.0
482838,455.0
483683,470.0
484279,260.0
484673,95.0
485504,335.0
486014,210.0
486538,225.0
487263,410.0
487698,180.0
488141,210.0
488845,275.0
489367,215.0
490031,245.0
490549,215.0
491017,210.0
491967,395.0
492250,125.0
493284,680.0
494057,485.0
494644,240.0
495250,290.0
495806,175.0
496243,180.0
496985,415.0
497584,315.0
498046,225.0
498745,315.0
499150,115.0
499510,155.0
500118,490.0
500863,295.0
501256,140.0
501816,265.0
502532,350.0
503010,210.0
503630,365.0
504139,425.0
504939,420.0
505526,230.0
506107,265.0
506773,320.0
507346,255.0
508082,390.0
508721,270.0
509378,320.0
510563,805.0
511090,260.0
511515,210.0
512187,275.0
512988,595.0
513385,130.0
514061,340.0
514513,155.0
515205,350.0
515803,285.0
516176,180.0
516999,450.0
517293,135.0
517722,180.0
518918,680.0
519530,310.0
519999,185.0
520529,260.0
521016,210.0
521560,235.0
522223,335.0
522691,265.0
523478,315.0
524008,245.0
524486,165.0
525103,310.0
525532,155.0
